2023-11-16 17:21:09 - Creating converter from 3 to 5
2023-11-16 17:21:29 - (UNIFORM, scott, 10000, 154) - Time: 0.00170 s - Est.: 0.258 nats
2023-11-16 17:21:30 - (UNIFORM, scott, 10000, 155) - Time: 0.00171 s - Est.: 0.270 nats
2023-11-16 17:21:30 - (UNIFORM, scott, 10000, 156) - Time: 0.00169 s - Est.: 0.267 nats
2023-11-16 17:21:30 - (UNIFORM, scott, 10000, 157) - Time: 0.00172 s - Est.: 0.276 nats
2023-11-16 17:21:30 - (UNIFORM, scott, 10000, 158) - Time: 0.00175 s - Est.: 0.256 nats
2023-11-16 17:21:30 - (UNIFORM, scott, 10000, 159) - Time: 0.00175 s - Est.: 0.269 nats
2023-11-16 17:21:30 - (UNIFORM, scott, 10000, 160) - Time: 0.00171 s - Est.: 0.265 nats
2023-11-16 17:21:30 - (UNIFORM, scott, 10000, 161) - Time: 0.00172 s - Est.: 0.270 nats
2023-11-16 17:21:31 - (UNIFORM, scott, 10000, 162) - Time: 0.00172 s - Est.: 0.273 nats
2023-11-16 17:21:31 - (UNIFORM, scott, 10000, 163) - Time: 0.00172 s - Est.: 0.267 nats
2023-11-16 17:21:31 - (UNIFORM, scott, 10000, 164) - Time: 0.00172 s - Est.: 0.263 nats
2023-11-16 17:21:31 - (UNIFORM, scott, 10000, 165) - Time: 0.00171 s - Est.: 0.268 nats
2023-11-16 17:21:31 - (UNIFORM, scott, 10000, 166) - Time: 0.00170 s - Est.: 0.275 nats
2023-11-16 17:21:31 - (UNIFORM, scott, 10000, 167) - Time: 0.00171 s - Est.: 0.268 nats
2023-11-16 17:21:31 - (UNIFORM, scott, 10000, 168) - Time: 0.00171 s - Est.: 0.267 nats
2023-11-16 17:21:31 - (UNIFORM, scott, 10000, 169) - Time: 0.00173 s - Est.: 0.259 nats
2023-11-16 17:21:32 - (UNIFORM, scott, 10000, 170) - Time: 0.00173 s - Est.: 0.263 nats
2023-11-16 17:21:32 - (UNIFORM, scott, 10000, 171) - Time: 0.00172 s - Est.: 0.273 nats
2023-11-16 17:21:32 - (UNIFORM, scott, 10000, 172) - Time: 0.00173 s - Est.: 0.263 nats
2023-11-16 17:21:32 - (UNIFORM, scott, 10000, 173) - Time: 0.00176 s - Est.: 0.266 nats
2023-11-16 17:21:32 - (UNIFORM, scott, 10000, 174) - Time: 0.00175 s - Est.: 0.272 nats
2023-11-16 17:21:32 - (UNIFORM, scott, 10000, 175) - Time: 0.00174 s - Est.: 0.266 nats
2023-11-16 17:21:32 - (UNIFORM, scott, 10000, 176) - Time: 0.00173 s - Est.: 0.261 nats
2023-11-16 17:21:33 - (UNIFORM, scott, 10000, 177) - Time: 0.00170 s - Est.: 0.273 nats
2023-11-16 17:21:33 - (UNIFORM, scott, 10000, 178) - Time: 0.00171 s - Est.: 0.274 nats
2023-11-16 17:21:33 - (UNIFORM, scott, 10000, 179) - Time: 0.00171 s - Est.: 0.275 nats
2023-11-16 17:21:33 - (UNIFORM, scott, 10000, 180) - Time: 0.00173 s - Est.: 0.270 nats
2023-11-16 17:21:33 - (UNIFORM, scott, 10000, 181) - Time: 0.00175 s - Est.: 0.273 nats
2023-11-16 17:21:33 - (UNIFORM, scott, 10000, 182) - Time: 0.00170 s - Est.: 0.278 nats
2023-11-16 17:21:33 - (UNIFORM, scott, 10000, 183) - Time: 0.00171 s - Est.: 0.267 nats
2023-11-16 17:21:34 - (UNIFORM, scott, 10000, 184) - Time: 0.00172 s - Est.: 0.266 nats
